SIX, SIX, SIX, SEVEN, SEVEN, FH, Sixes Full over Sevens, false, 270 
SIX, SIX, SIX, FIVE, FIVE, FH, Sixes Full over Fives, false, 271 
SIX, SIX, SIX, FOUR, FOUR, FH, Sixes Full over Fours, false, 272 
SIX, SIX, SIX, THREE, THREE, FH, Sixes Full over Treys, false, 273 
SIX, SIX, SIX, DEUCE, DEUCE, FH, Sixes Full over Deuces, false, 274 
FIVE, FIVE, FIVE, ACE, ACE, FH, Fives Full over Aces, false, 275 
FIVE, FIVE, FIVE, KING, KING, FH, Fives Full over Kings, false, 276 
FIVE, FIVE, FIVE, QUEEN, QUEEN, FH, Fives Full over Queens, false, 277 
FIVE, FIVE, FIVE, JACK, JACK, FH, Fives Full over Jacks, false, 278 
FIVE, FIVE, FIVE, TEN, TEN, FH, Fives Full over Tens, false, 279 
FIVE, FIVE, FIVE, NINE, NINE, FH, Fives Full over Nines, false, 280 
FIVE, FIVE, FIVE, EIGHT, EIGHT, FH, Fives Full over Eights, false, 281 
FIVE, FIVE, FIVE, SEVEN, SEVEN, FH, Fives Full over Sevens, false, 282 
FIVE, FIVE, FIVE, SIX, SIX, FH, Fives Full over Sixes, false, 283 
FIVE, FIVE, FIVE, FOUR, FOUR, FH, Fives Full over Fours, false, 284 
FIVE, FIVE, FIVE, THREE, THREE, FH, Fives Full over Treys, false, 285 
FIVE, FIVE, FIVE, DEUCE, DEUCE, FH, Fives Full over Deuces, false, 286 
FOUR, FOUR, FOUR, ACE, ACE, FH, Fours Full over Aces, false, 287 
FOUR, FOUR, FOUR, KING, KING, FH, Fours Full over Kings, false, 288 
FOUR, FOUR, FOUR, QUEEN, QUEEN, FH, Fours Full over Queens, false, 289 
FOUR, FOUR, FOUR, JACK, JACK, FH, Fours Full over Jacks, false, 290 
FOUR, FOUR, FOUR, TEN, TEN, FH, Fours Full over Tens, false, 291 
FOUR, FOUR, FOUR, NINE, NINE, FH, Fours Full over Nines, false, 292 
FOUR, FOUR, FOUR, EIGHT, EIGHT, FH, Fours Full over Eights, false, 293 
FOUR, FOUR, FOUR, SEVEN, SEVEN, FH, Fours Full over Sevens, false, 294 
FOUR, FOUR, FOUR, SIX, SIX, FH, Fours Full over Sixes, false, 295 
FOUR, FOUR, FOUR, FIVE, FIVE, FH, Fours Full over Fives, false, 296 
FOUR, FOUR, FOUR, THREE, THREE, FH, Fours Full over Treys, false, 297 
FOUR, FOUR, FOUR, DEUCE, DEUCE, FH, Fours Full over Deuces, false, 298 
THREE, THREE, THREE, ACE, ACE, FH, Treys Full over Aces, false, 299 
THREE, THREE, THREE, KING, KING, FH, Treys Full over Kings, false, 300 
THREE, THREE, THREE, QUEEN, QUEEN, FH, Treys Full over Queens, false, 301 
THREE, THREE, THREE, JACK, JACK, FH, Treys Full over Jacks, false, 302 
THREE, THREE, THREE, TEN, TEN, FH, Treys Full over Tens, false, 303 
THREE, THREE, THREE, NINE, NINE, FH, Treys Full over Nines, false, 304 
THREE, THREE, THREE, EIGHT, EIGHT, FH, Treys Full over Eights, false, 305 
THREE, THREE, THREE, SEVEN, SEVEN, FH, Treys Full over Sevens, false, 306 
THREE, THREE, THREE, SIX, SIX, FH, Treys Full over Sixes, false, 307 
THREE, THREE, THREE, FIVE, FIVE, FH, Treys Full over Fives, false, 308 
THREE, THREE, THREE, FOUR, FOUR, FH, Treys Full over Fours, false, 309 
THREE, THREE, THREE, DEUCE, DEUCE, FH, Treys Full over Deuces, false, 310 
DEUCE, DEUCE, DEUCE, ACE, ACE, FH, Deuces Full over Aces, false, 311 
DEUCE, DEUCE, DEUCE, KING, KING, FH, Deuces Full over Kings, false, 312 
DEUCE, DEUCE, DEUCE, QUEEN, QUEEN, FH, Deuces Full over Queens, false, 313 
DEUCE, DEUCE, DEUCE, JACK, JACK, FH, Deuces Full over Jacks, false, 314 
DEUCE, DEUCE, DEUCE, TEN, TEN, FH, Deuces Full over Tens, false, 315 
DEUCE, DEUCE, DEUCE, NINE, NINE, FH, Deuces Full over Nines, false, 316 
DEUCE, DEUCE, DEUCE, EIGHT, EIGHT, FH, Deuces Full over Eights, false, 317 
DEUCE, DEUCE, DEUCE, SEVEN, SEVEN, FH, Deuces Full over Sevens, false, 318 
DEUCE, DEUCE, DEUCE, SIX, SIX, FH, Deuces Full over Sixes, false, 319 
DEUCE, DEUCE, DEUCE, FIVE, FIVE, FH, Deuces Full over Fives, false, 320 
DEUCE, DEUCE, DEUCE, FOUR, FOUR, FH, Deuces Full over Fours, false, 321 
DEUCE, DEUCE, DEUCE, THREE, THREE, FH, Deuces Full over Treys, false, 322 
ACE, KING, QUEEN, JACK, NINE, F, Ace-High Flush, true, 323 
ACE, KING, QUEEN, JACK, EIGHT, F, Ace-High Flush, true, 324 
ACE, KING, QUEEN, JACK, SEVEN, F, Ace-High Flush, true, 325 
ACE, KING, QUEEN, JACK, SIX, F, Ace-High Flush, true, 326 
ACE, KING, QUEEN, JACK, FIVE, F, Ace-High Flush, true, 327 
ACE, KING, QUEEN, JACK, FOUR, F, Ace-High Flush, true, 328 
ACE, KING, QUEEN, JACK, THREE, F, Ace-High Flush, true, 329 
ACE, KING, QUEEN, JACK, DEUCE, F, Ace-High Flush, true, 330 
ACE, KING, QUEEN, TEN, NINE, F, Ace-High Flush, true, 331 
ACE, KING, QUEEN, TEN, EIGHT, F, Ace-High Flush, true, 332 
ACE, KING, QUEEN, TEN, SEVEN, F, Ace-High Flush, true, 333 
ACE, KING, QUEEN, TEN, SIX, F, Ace-High Flush, true, 334 
ACE, KING, QUEEN, TEN, FIVE, F, Ace-High Flush, true, 335 
ACE, KING, QUEEN, TEN, FOUR, F, Ace-High Flush, true, 336 
ACE, KING, QUEEN, TEN, THREE, F, Ace-High Flush, true, 337 
ACE, KING, QUEEN, TEN, DEUCE, F, Ace-High Flush, true, 338 
